pd_source,bin,n,mean_pred,obs_rate,obs_to_exp
LightGBM Platt (PRIMARY),1,6403,0.00011731324551725107,0.0,0.0
LightGBM Platt (PRIMARY),2,6403,0.0003707567255888325,0.0006247071685147587,1.6849516823264756
LightGBM Platt (PRIMARY),3,6402,0.0007545850365492005,0.001718213058419244,2.2770303878232454
LightGBM Platt (PRIMARY),4,6403,0.0012666589331592995,0.0021864750898016555,1.726175083570564
LightGBM Platt (PRIMARY),5,6403,0.0019997643748705706,0.0026550054661877245,1.3276591480231579
LightGBM Platt (PRIMARY),6,6402,0.0030699299526650483,0.004061230865354577,1.3229066877662687
LightGBM Platt (PRIMARY),7,6403,0.004754393095639014,0.006871778853662346,1.4453535320765782
LightGBM Platt (PRIMARY),8,6402,0.00807685354196071,0.014214308028741018,1.759881859302651
LightGBM Platt (PRIMARY),9,6403,0.016022096604799214,0.026550054661877244,1.6570899125601648
LightGBM Platt (PRIMARY),10,6403,0.05742388686104199,0.1327502733093862,2.3117604983902234
LR full-F6E Platt,1,6403,0.0004715499185448991,0.0,0.0
LR full-F6E Platt,2,6403,0.002025429477888723,0.0006247071685147587,0.3084319524992517
LR full-F6E Platt,3,6402,0.003875629936923451,0.002499218994064355,0.6448549099732371
LR full-F6E Platt,4,6403,0.00581217173324808,0.004372950179603311,0.7523780060709815
LR full-F6E Platt,5,6403,0.008073497525951592,0.006871778853662346,0.8511526549148717
LR full-F6E Platt,6,6402,0.010885435567112982,0.006560449859418931,0.6026814286824981
LR full-F6E Platt,7,6403,0.014553520119293985,0.012025612993909106,0.8263027017062652
LR full-F6E Platt,8,6402,0.02003469090896578,0.016869728209934397,0.8420258783421001
LR full-F6E Platt,9,6403,0.030583612779139856,0.025769170701233798,0.8425809889539982
LR full-F6E Platt,10,6403,0.11069524634417355,0.11603935655161643,1.0482776847600752
LR no-F6E Platt,1,6403,0.002991174602181881,0.0017179447134155865,0.5743378243993011
LR no-F6E Platt,2,6403,0.004410330416406734,0.0037482430110885524,0.8498780493055189
LR no-F6E Platt,3,6402,0.005592399833979917,0.0039050296782255547,0.69827440707981
LR no-F6E Platt,4,6403,0.006842421421225999,0.005466187724504139,0.7988674458938438
LR no-F6E Platt,5,6403,0.008364597528173204,0.007027955645791035,0.8402024869839629
LR no-F6E Platt,6,6402,0.0103603901203913,0.006404248672289909,0.6181474440508836
LR no-F6E Platt,7,6403,0.01327775123078787,0.008589723567077932,0.646926080913495
LR no-F6E Platt,8,6402,0.018173263882916856,0.014214308028741018,0.782154934871258
LR no-F6E Platt,9,6403,0.0291796044446725,0.025456817116976418,0.8724181702066981
LR no-F6E Platt,10,6403,0.10835612385945556,0.11510229579884429,1.0622592586288793
Scorecard no-F6E Platt,1,6403,0.0007087672043761904,0.003279712634702483,4.6273481821003095
Scorecard no-F6E Platt,2,6403,0.0013191855401370387,0.004060596595345932,3.07810878136529
Scorecard no-F6E Platt,3,6402,0.0018263032366892288,0.007341455795064043,4.019844923657272
Scorecard no-F6E Platt,4,6403,0.0025891811820797747,0.007027955645791035,2.714354520430196
Scorecard no-F6E Platt,5,6403,0.004056050492239128,0.007184132437919725,1.7712137587206787
Scorecard no-F6E Platt,6,6402,0.005510754577511436,0.009528272414870352,1.7290322551749637
Scorecard no-F6E Platt,7,6403,0.007056543840743596,0.011244729033265656,1.5935179157167574
Scorecard no-F6E Platt,8,6402,0.009275316715152904,0.015151515151515152,1.6335307587677752
Scorecard no-F6E Platt,9,6403,0.01510759807143749,0.0196782758082149,1.3025416558717404
Scorecard no-F6E Platt,10,6403,0.04434238920679973,0.10713727940028112,2.4161368234044556
Stressed Gini 0.60,1,6403,2.2362199910983543e-05,0.00046853037638606906,20.95189105951705
Stressed Gini 0.60,2,6403,0.0001028123028033831,0.0031235358425737935,30.380954004572807
Stressed Gini 0.60,3,6402,0.00026267339797083695,0.004842236800999687,18.434439263382476
Stressed Gini 0.60,4,6403,0.0005554141099583609,0.005153834140246759,9.279263972305527
Stressed Gini 0.60,5,6403,0.0010840430945806986,0.007340309230048415,6.771233788346397
Stressed Gini 0.60,6,6402,0.002057888059969759,0.012808497344579818,6.2240981877158275
Stressed Gini 0.60,7,6403,0.004028665664086303,0.013275027330938622,3.2951424709375536
Stressed Gini 0.60,8,6402,0.008523891024177896,0.024679787566385506,2.8953663880006957
Stressed Gini 0.60,9,6403,0.022199078088042955,0.03857566765578635,1.7377148502650785
Stressed Gini 0.60,10,6403,0.15279378965156354,0.08136810869904733,0.5325354445661836
Stressed Gini 0.45,1,6403,8.218866423827256e-07,0.0021864750898016555,2660.3122341334824
Stressed Gini 0.45,2,6403,6.397254803934973e-06,0.005778541308761518,903.2845315473628
Stressed Gini 0.45,3,6402,2.2785914750330895e-05,0.00718525460793502,315.33755333788724
Stressed Gini 0.45,4,6403,6.407518391437886e-05,0.010463845072622208,163.3057360647553
Stressed Gini 0.45,5,6403,0.0001625353502719477,0.011557082617523036,71.10504021547426
Stressed Gini 0.45,6,6402,0.0003974758602610409,0.018275538894095594,45.97899072938215
Stressed Gini 0.45,7,6403,0.000997882585711145,0.017491800718413244,17.528916697095823
Stressed Gini 0.45,8,6402,0.002857818557073437,0.026866604186191814,9.401088155052324
Stressed Gini 0.45,9,6403,0.011076599588470685,0.0348274246446978,3.144234326295289
Stressed Gini 0.45,10,6403,0.1760430437211258,0.05700452912697173,0.323810176886478
Stressed Gini 0.30,1,6403,6.362065950641679e-09,0.006559425269404966,1031021.262636138
Stressed Gini 0.30,2,6403,9.40889004026573e-08,0.010776198656879588,114532.09263539486
Stressed Gini 0.30,3,6402,5.616631731527574e-07,0.011558887847547642,20579.750284613965
Stressed Gini 0.30,4,6403,2.4847215939168073e-06,0.013275027330938622,5342.661875454805
Stressed Gini 0.30,5,6403,9.35061380737589e-06,0.01468061846009683,1570.0165531931775
Stressed Gini 0.30,6,6402,3.4248859020865814e-05,0.015463917525773196,451.5162831074735
Stressed Gini 0.30,7,6403,0.00013316741029933987,0.01999062939247228,150.11652886795966
Stressed Gini 0.30,8,6402,0.0006312248032305521,0.025616994689159636,40.58299762311961
Stressed Gini 0.30,9,6403,0.004537152787011865,0.030610651257223176,6.746665297419512
Stressed Gini 0.30,10,6403,0.21231281684210696,0.04310479462751835,0.20302492929371557
