anchor,metric,p2_5,p10,p25,p50,p75,p90,p97_5,mean,std
optimistic_base,approve_pct_kstar,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
optimistic_base,approve_pct_youden,79.29150983178972,79.3821356615178,79.48521717400472,79.5984506536305,79.70426538803942,79.78680869008387,79.9022677932747,79.5930779202524,0.15651205233965368
optimistic_base,cutoff_gap,20.097732206725293,20.213191309916127,20.295734611960583,20.4015493463695,20.514782825995283,20.617864338482207,20.70849016821028,20.40692207974761,0.15651205233965368
realistic_central_boundary,approve_pct_kstar,99.1566058069252,99.18940446998923,99.22220313305324,99.2518781139207,99.28155309478814,99.31591359895044,99.3565214675059,99.25321504990082,0.0501416659518308
realistic_central_boundary,approve_pct_youden,79.29150983178972,79.3821356615178,79.48521717400472,79.5984506536305,79.70426538803942,79.78680869008387,79.9022677932747,79.5930779202524,0.15651205233965368
realistic_central_boundary,cutoff_gap,19.35894232120824,19.460383900541956,19.54644134505756,19.65420838083932,19.76548955909227,19.885517047495597,19.97126212379152,19.66013712964843,0.16135370731530121
moderate_interior,approve_pct_kstar,94.9907851375201,95.15969825229982,95.2582504256017,95.33165695722117,95.38475955456292,95.44426570040764,95.50033579583614,95.31226982366815,0.12217994592862681
moderate_interior,approve_pct_youden,79.29150983178972,79.3821356615178,79.48521717400472,79.5984506536305,79.70426538803942,79.78680869008387,79.9022677932747,79.5930779202524,0.15651205233965368
moderate_interior,cutoff_gap,15.35281990410295,15.508925921876708,15.61216361847346,15.729301700844957,15.833945054430163,15.930779202523937,16.019843191153743,15.719191903415748,0.16738545566415466
adverse_stress,approve_pct_kstar,84.30505880331735,84.48607618660877,84.65608259015728,84.86263607540569,85.00944913864464,85.13455261061739,85.27187748918425,84.8333656113827,0.252186965399238
adverse_stress,approve_pct_youden,79.29150983178972,79.3821356615178,79.48521717400472,79.5984506536305,79.70426538803942,79.78680869008387,79.9022677932747,79.5930779202524,0.15651205233965368
adverse_stress,cutoff_gap,4.793173192559381,4.933856029487558,5.069736205038495,5.268090024520902,5.39928467677699,5.521264466553179,5.636762615771468,5.2402876911303045,0.22690889819131949
