feature,importance_split,importance_gain
job_code_x_income,93,1392350.6128234863
app_nom_marital_status,37,702025.2313232422
age_x_n_children,63,426093.3795776367
app_nom_gender,91,336430.97592163086
synth_int_inc_x_nchildren,30,293856.4726257324
synth_thin_file_flag,49,283082.47149658203
act_age_noisy,24,263346.47790527344
synth_household_income_v1,5,69628.88790893555
mean_age_by_job_code,31,68580.5756225586
act_age,29,60678.45150756836
mean_income_by_marital_status,42,49721.23080444336
synth_int_spend_x_nchildren,29,47602.284606933594
marital_x_n_children,32,38491.4758605957
synth_employment_months,7,36979.86706542969
std_income_by_branch,29,35828.609375
synth_credit_history_v1,21,33712.229553222656
count_by_marital_status,40,33382.97229003906
app_number_of_children_noisy,47,30455.9638671875
app_nom_home_status,32,27393.286071777344
app_nom_city,28,24517.98599243164
synth_credit_age_v1,33,23828.871856689453
synth_credit_age_years,33,19669.39810180664
count_by_job_code,3,18051.59051513672
synth_age_of_newest,21,17599.205932617188
synth_int_age_x_spend,13,16294.413177490234
std_age_by_job_code,23,16188.20620727539
synth_oldest_mortgage_months,25,16087.60092163086
synth_n_late_60,23,12944.448974609375
synth_noise_uniform_8,22,11847.199951171875
age_x_income,8,11624.265075683594
synth_n_missed_payments,18,11254.379791259766
random_uniform_28,15,11227.688018798828
synth_bureau_score_v10,21,11078.325103759766
synth_oldest_tradeline_v1,22,11036.989013671875
synth_available_credit,13,10015.134033203125
app_nom_cars_noisy,23,9838.93798828125
synth_avg_age_credit_lines,9,9747.842010498047
synth_age_of_oldest,16,9260.606994628906
synth_oldest_revolving_months,17,9234.972961425781
synth_noise_normal_9,12,8862.5390625
app_spendings_to_app_income,12,8494.029022216797
synth_pmt_consistency_score,12,8478.525909423828
synth_mortgage_balance,13,8281.264831542969
synth_high_balance_util,15,8146.672088623047
synth_payment_history_score,16,8032.921966552734
random_uniform_18,13,7934.394958496094
random_normal_9,15,7829.213928222656
random_uniform_21,16,7681.469024658203
synth_unsecured_limit,12,7545.802917480469
random_normal_30,14,7415.595062255859
synth_oldest_account_months,15,7359.709045410156
random_int_4,15,7327.4449462890625
random_normal_22,12,7265.3519287109375
std_age_by_branch,13,6846.380920410156
synth_highest_limit,9,6816.662994384766
