,train,oot
o_to_e_bin1,1.0079915998644522,0.0
o_to_e_bin2,0.9952274595957739,0.13603903327359895
o_to_e_bin3,0.9461931562578583,0.3187223439763387
o_to_e_bin4,0.9530316836899997,0.38745549906739124
o_to_e_bin5,0.9907665323236674,0.420719673474594
o_to_e_bin6,0.8586869621490502,0.2974313196815206
o_to_e_bin7,0.9237540496568183,0.44147607904734526
o_to_e_bin8,0.9831634043401561,0.4279020839668309
o_to_e_bin9,1.0145473172027342,0.46423870084760693
o_to_e_bin10,1.0340498848337207,0.6373316826253193
ece,0.0006223563672268918,0.00779220136584689
n,389525.0,144789.0
base_rate,0.016330145690263784,0.00847440067960964
mean_pred,0.016330145690263784,0.01626660204545653
