feature_name,feature_family,source_columns,formula,description,availability_time,source_window,uses_target,uses_future_behavior,allowed_for_origination_pd,allowed_for_behavioral_pd,allowed_for_profit,leakage_risk,reason_if_not_allowed_for_pd
aid,ORIGINAL_ID,aid,raw column from cleaned ABT,original ABT column (ORIGINAL_ID),metadata,metadata,False,False,False,False,False,low,"ID/metadata column, not a predictor"
cid,ORIGINAL_ID,cid,raw column from cleaned ABT,original ABT column (ORIGINAL_ID),metadata,metadata,False,False,False,False,False,low,"ID/metadata column, not a predictor"
fin_period,ORIGINAL_ID,fin_period,raw column from cleaned ABT,original ABT column (ORIGINAL_ID),metadata,metadata,False,False,False,False,False,low,"ID/metadata column, not a predictor"
app_income,ORIGINAL_APP,app_income,raw column from cleaned ABT,original ABT column (ORIGINAL_APP),origination,static,False,False,True,True,False,low,
app_nom_branch,ORIGINAL_APP,app_nom_branch,raw column from cleaned ABT,original ABT column (ORIGINAL_APP),origination,static,False,False,True,True,False,low,
app_nom_gender,ORIGINAL_APP,app_nom_gender,raw column from cleaned ABT,original ABT column (ORIGINAL_APP),origination,static,False,False,True,True,False,low,
app_nom_job_code,ORIGINAL_APP,app_nom_job_code,raw column from cleaned ABT,original ABT column (ORIGINAL_APP),origination,static,False,False,True,True,False,low,
app_number_of_children,ORIGINAL_APP,app_number_of_children,raw column from cleaned ABT,original ABT column (ORIGINAL_APP),origination,static,False,False,True,True,False,low,
app_nom_marital_status,ORIGINAL_APP,app_nom_marital_status,raw column from cleaned ABT,original ABT column (ORIGINAL_APP),origination,static,False,False,True,True,False,low,
app_nom_city,ORIGINAL_APP,app_nom_city,raw column from cleaned ABT,original ABT column (ORIGINAL_APP),origination,static,False,False,True,True,False,low,
app_nom_home_status,ORIGINAL_APP,app_nom_home_status,raw column from cleaned ABT,original ABT column (ORIGINAL_APP),origination,static,False,False,True,True,False,low,
app_nom_cars,ORIGINAL_APP,app_nom_cars,raw column from cleaned ABT,original ABT column (ORIGINAL_APP),origination,static,False,False,True,True,False,low,
app_spendings,ORIGINAL_APP,app_spendings,raw column from cleaned ABT,original ABT column (ORIGINAL_APP),origination,static,False,False,True,True,False,low,
act_age,ORIGINAL_APP,act_age,raw column from cleaned ABT,original ABT column (ORIGINAL_APP),origination,static,False,False,True,True,False,low,
installment,ORIGINAL_LOAN,installment,raw column from cleaned ABT,original ABT column (ORIGINAL_LOAN),origination,static,False,False,False,False,True,medium,duration/zero-interest artifact; profit input not PD predictor
n_installments,ORIGINAL_LOAN,n_installments,raw column from cleaned ABT,original ABT column (ORIGINAL_LOAN),origination,static,False,False,False,False,True,medium,duration/zero-interest artifact; profit input not PD predictor
loan_amount,ORIGINAL_LOAN,loan_amount,raw column from cleaned ABT,original ABT column (ORIGINAL_LOAN),origination,static,False,False,False,False,True,medium,duration/zero-interest artifact; profit input not PD predictor
act_due_m2,ORIGINAL_BEHAVIORAL,act_due_m2,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m2,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_due_m3,ORIGINAL_BEHAVIORAL,act_due_m3,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m3,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_due_m4,ORIGINAL_BEHAVIORAL,act_due_m4,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m4,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_due_m5,ORIGINAL_BEHAVIORAL,act_due_m5,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m5,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_due_m6,ORIGINAL_BEHAVIORAL,act_due_m6,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m6,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_due_m7,ORIGINAL_BEHAVIORAL,act_due_m7,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m7,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_due_m8,ORIGINAL_BEHAVIORAL,act_due_m8,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m8,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_due_m9,ORIGINAL_BEHAVIORAL,act_due_m9,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m9,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_due_m10,ORIGINAL_BEHAVIORAL,act_due_m10,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m10,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_due_m11,ORIGINAL_BEHAVIORAL,act_due_m11,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m11,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_due_m12,ORIGINAL_BEHAVIORAL,act_due_m12,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m12,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
