feature,bin_index,bin_label,n,n_events,event_rate,woe,beta,points_from_woe,points_intercept_share,points_total
app_nom_job_code,0,4,184598,1835,0.009940519398910065,-0.5641039645870605,0.7429653201448783,12.09,72.16,84.25
app_nom_job_code,1,3,65342,748,0.01144746105108506,-0.4210412641988211,0.7429653201448783,9.03,72.16,81.18
app_nom_job_code,2,"2, 1",90787,3327,0.03664621586791061,0.7678060871882887,0.7429653201448783,-16.46,72.16,55.7
act_age_log1p,0,"(-inf, 3.932)",44608,1750,0.039230631276901004,0.8387695484151534,0.49951788402221453,-12.09,72.16,60.07
act_age_log1p,1,"[3.932, 3.97)",31167,872,0.02797831039240222,0.48938026722877553,0.49951788402221453,-7.05,72.16,65.11
act_age_log1p,2,"[3.97, 3.989)",17144,409,0.023856742883807746,0.3264214913605262,0.49951788402221453,-4.7,72.16,67.45
act_age_log1p,3,"[3.989, 4.025)",17087,362,0.021185696728507054,0.20510677314768552,0.49951788402221453,-2.96,72.16,69.2
act_age_log1p,4,"[4.025, 4.043)",33970,605,0.017809832204886664,0.02754893077294686,0.49951788402221453,-0.4,72.16,71.76
act_age_log1p,5,"[4.043, 4.078)",33847,484,0.014299642508937277,-0.19532825693695668,0.49951788402221453,2.82,72.16,74.97
act_age_log1p,6,"[4.078, 4.127)",34064,396,0.01162517613903241,-0.40486984127453857,0.49951788402221453,5.84,72.16,77.99
act_age_log1p,7,"[4.127, 4.143)",34091,313,0.009181308849843067,-0.6430083455607825,0.49951788402221453,9.27,72.16,81.43
act_age_log1p,8,"[4.143, 4.19)",33644,302,0.00897634050647961,-0.6657347822569074,0.49951788402221453,9.6,72.16,81.75
act_age_log1p,9,"[4.19, 4.205)",27932,211,0.007554059859659172,-0.838966487138842,0.49951788402221453,12.09,72.16,84.25
act_age_log1p,10,"[4.205, +inf)",33173,206,0.006209869472161095,-1.0362050155120206,0.49951788402221453,14.93,72.16,87.09
mean_cars_by_job_code,0,"(-inf, 1.815)",81977,2616,0.03191138978006026,0.6245962615912024,1.1631408641265562,-20.96,72.16,51.2
mean_cars_by_job_code,1,"[1.815, 1.816)",74152,1459,0.019675801057287733,0.12861401806668343,1.1631408641265562,-4.32,72.16,67.84
mean_cars_by_job_code,2,"[1.816, +inf)",184598,1835,0.009940519398910065,-0.5641039645870605,1.1631408641265562,18.93,72.16,91.09
app_nom_marital_status,0,3,38563,272,0.007053393148873272,-0.908572525551234,1.1083409569214642,29.06,72.16,101.21
app_nom_marital_status,1,4,204390,2501,0.012236410783306425,-0.3540578873080306,1.1083409569214642,11.32,72.16,83.48
app_nom_marital_status,2,"2, 1",97774,3137,0.03208419416204717,0.6301445797972234,1.1083409569214642,-20.15,72.16,52.01
median_income_by_job_code,0,"(-inf, 924)",184598,1835,0.009940519398910065,-0.5641039645870605,-1.3346638412338072,-21.72,72.16,50.44
median_income_by_job_code,1,"[924, +inf)",156129,4075,0.026100212004176036,0.41752650810789965,-1.3346638412338072,16.08,72.16,88.24
app_nom_branch,0,4,63426,871,0.013732538706524139,-0.23682149795692475,1.0645650626361318,7.27,72.16,79.43
app_nom_branch,1,3,113620,1791,0.015763069882063017,-0.09715005342632116,1.0645650626361318,2.98,72.16,75.14
app_nom_branch,2,2,113462,2185,0.019257548782852407,0.10658963257905674,1.0645650626361318,-3.27,72.16,68.88
app_nom_branch,3,1,50219,1063,0.021167287281706127,0.20332834835801472,1.0645650626361318,-6.25,72.16,65.91
app_nom_city,0,4,56445,798,0.014137656125431837,-0.2072853856409518,1.0489237003872836,6.27,72.16,78.43
app_nom_city,1,3,113967,1822,0.01598708398045048,-0.08281587165895918,1.0489237003872836,2.51,72.16,74.67
app_nom_city,2,2,113160,2094,0.018504772004241783,0.06595781915048665,1.0489237003872836,-2.0,72.16,70.16
app_nom_city,3,1,57155,1196,0.020925553319919517,0.19154449233121174,1.0489237003872836,-5.8,72.16,66.36
