aid,cid,app_date,period,installment,n_installments,loan_amount,branch,aid
ins202405010001,0000000001,2024-05-01,202405,402,12,4824,1,ins202405010001
ins202405020001,0000000002,2024-05-02,202405,347,12,4164,4,ins202405020001
ins202405030001,0000000003,2024-05-03,202405,287,36,10332,1,ins202405030001
ins202405040001,0000000004,2024-05-04,202405,549,12,6588,3,ins202405040001
ins202405050001,0000000005,2024-05-05,202405,233,12,2796,1,ins202405050001
ins202405060001,0000000006,2024-05-06,202405,143,24,3432,2,ins202405060001
ins202405070001,0000000007,2024-05-07,202405,329,24,7896,3,ins202405070001
ins202405080001,0000000008,2024-05-08,202405,263,12,3156,3,ins202405080001
ins202405090001,0000000009,2024-05-09,202405,180,12,2160,2,ins202405090001
ins202405100001,0000000010,2024-05-10,202405,150,12,1800,2,ins202405100001
ins202405110001,0000000011,2024-05-11,202405,232,12,2784,4,ins202405110001
ins202405120001,0000000012,2024-05-12,202405,260,12,3120,2,ins202405120001
ins202405130001,0000000013,2024-05-13,202405,271,12,3252,2,ins202405130001
ins202405140001,0000000014,2024-05-14,202405,316,12,3792,2,ins202405140001
ins202405150001,0000000015,2024-05-15,202405,379,36,13644,3,ins202405150001
ins202405160001,0000000016,2024-05-16,202405,510,36,18360,1,ins202405160001
ins202405170001,0000000017,2024-05-17,202405,516,12,6192,3,ins202405170001
ins202405180001,0000000018,2024-05-18,202405,588,12,7056,1,ins202405180001
ins202405190001,0000000019,2024-05-19,202405,136,12,1632,4,ins202405190001
ins202405200001,0000000020,2024-05-20,202405,126,12,1512,1,ins202405200001
ins202405210001,0000000021,2024-05-21,202405,259,12,3108,3,ins202405210001
ins202405220001,0000000022,2024-05-22,202405,269,12,3228,2,ins202405220001
ins202405230001,0000000023,2024-05-23,202405,347,12,4164,2,ins202405230001
ins202405240001,0000000024,2024-05-24,202405,164,12,1968,3,ins202405240001
ins202405250001,0000000025,2024-05-25,202405,290,24,6960,4,ins202405250001
ins202405260001,0000000026,2024-05-26,202405,457,24,10968,2,ins202405260001
ins202405270001,0000000027,2024-05-27,202405,366,36,13176,4,ins202405270001
ins202405280001,0000000028,2024-05-28,202405,103,12,1236,2,ins202405280001
ins202405290001,0000000029,2024-05-29,202405,493,12,5916,1,ins202405290001
ins202405300001,0000000030,2024-05-30,202405,432,36,15552,2,ins202405300001
ins202405310001,0000000031,2024-05-31,202405,101,24,2424,1,ins202405310001
ins202406010001,0000000032,2024-06-01,202406,337,36,12132,3,ins202406010001
ins202406020001,0000000033,2024-06-02,202406,119,12,1428,3,ins202406020001
ins202406030001,0000000034,2024-06-03,202406,242,12,2904,3,ins202406030001
ins202406040001,0000000035,2024-06-04,202406,268,12,3216,4,ins202406040001
ins202406050001,0000000036,2024-06-05,202406,242,12,2904,1,ins202406050001
ins202406060001,0000000037,2024-06-06,202406,223,36,8028,3,ins202406060001
ins202406070001,0000000038,2024-06-07,202406,176,12,2112,3,ins202406070001
ins202406080001,0000000039,2024-06-08,202406,143,24,3432,2,ins202406080001
ins202406090001,0000000040,2024-06-09,202406,221,24,5304,2,ins202406090001
ins202406100001,0000000041,2024-06-10,202406,146,12,1752,2,ins202406100001
ins202406110001,0000000042,2024-06-11,202406,131,12,1572,4,ins202406110001
ins202406120001,0000000043,2024-06-12,202406,436,12,5232,4,ins202406120001
ins202406130001,0000000044,2024-06-13,202406,114,24,2736,4,ins202406130001
ins202406140001,0000000045,2024-06-14,202406,356,12,4272,1,ins202406140001
ins202406150001,0000000046,2024-06-15,202406,139,12,1668,2,ins202406150001
ins202406160001,0000000047,2024-06-16,202406,135,24,3240,3,ins202406160001
ins202406170001,0000000048,2024-06-17,202406,316,36,11376,1,ins202406170001
ins202406180001,0000000049,2024-06-18,202406,354,24,8496,2,ins202406180001
ins202406190001,0000000050,2024-06-19,202406,383,12,4596,3,ins202406190001
ins202406200001,0000000051,2024-06-20,202406,135,24,3240,3,ins202406200001
ins202406210001,0000000052,2024-06-21,202406,132,12,1584,4,ins202406210001
ins202406220001,0000000053,2024-06-22,202406,279,24,6696,4,ins202406220001
ins202406230001,0000000054,2024-06-23,202406,270,24,6480,2,ins202406230001
ins202406240001,0000000055,2024-06-24,202406,147,12,1764,1,ins202406240001
ins202406250001,0000000056,2024-06-25,202406,327,24,7848,1,ins202406250001
ins202406260001,0000000057,2024-06-26,202406,226,12,2712,2,ins202406260001
ins202406270001,0000000058,2024-06-27,202406,148,36,5328,4,ins202406270001
ins202406280001,0000000059,2024-06-28,202406,320,12,3840,4,ins202406280001
ins202406290001,0000000060,2024-06-29,202406,376,24,9024,2,ins202406290001
ins202406300001,0000000061,2024-06-30,202406,152,12,1824,3,ins202406300001
ins202407010001,0000000062,2024-07-01,202407,234,24,5616,4,ins202407010001
ins202407020001,0000000063,2024-07-02,202407,318,24,7632,2,ins202407020001
ins202407030001,0000000064,2024-07-03,202407,423,12,5076,4,ins202407030001
ins202407040001,0000000065,2024-07-04,202407,393,12,4716,3,ins202407040001
ins202407050001,0000000066,2024-07-05,202407,160,12,1920,3,ins202407050001
ins202407060001,0000000067,2024-07-06,202407,155,12,1860,2,ins202407060001
ins202407070001,0000000068,2024-07-07,202407,337,24,8088,3,ins202407070001
ins202407080001,0000000069,2024-07-08,202407,276,12,3312,2,ins202407080001
ins202407090001,0000000070,2024-07-09,202407,306,36,11016,3,ins202407090001
ins202407100001,0000000071,2024-07-10,202407,158,12,1896,2,ins202407100001
ins202407110001,0000000072,2024-07-11,202407,195,12,2340,3,ins202407110001
ins202407120001,0000000073,2024-07-12,202407,90,36,3240,4,ins202407120001
ins202407130001,0000000074,2024-07-13,202407,147,12,1764,1,ins202407130001
ins202407140001,0000000075,2024-07-14,202407,162,12,1944,3,ins202407140001
ins202407150001,0000000076,2024-07-15,202407,386,36,13896,1,ins202407150001
ins202407160001,0000000077,2024-07-16,202407,213,12,2556,3,ins202407160001
ins202407170001,0000000078,2024-07-17,202407,403,24,9672,3,ins202407170001
ins202407180001,0000000079,2024-07-18,202407,421,12,5052,2,ins202407180001
ins202407190001,0000000080,2024-07-19,202407,906,24,21744,2,ins202407190001
ins202407200001,0000000081,2024-07-20,202407,127,12,1524,4,ins202407200001
ins202407210001,0000000082,2024-07-21,202407,134,36,4824,2,ins202407210001
ins202407220001,0000000083,2024-07-22,202407,287,24,6888,3,ins202407220001
ins202407230001,0000000084,2024-07-23,202407,302,12,3624,3,ins202407230001
ins202407240001,0000000085,2024-07-24,202407,148,12,1776,2,ins202407240001
ins202407250001,0000000086,2024-07-25,202407,126,24,3024,1,ins202407250001
ins202407260001,0000000087,2024-07-26,202407,170,12,2040,4,ins202407260001
ins202407270001,0000000088,2024-07-27,202407,206,12,2472,4,ins202407270001
ins202407280001,0000000089,2024-07-28,202407,106,12,1272,3,ins202407280001
ins202407290001,0000000090,2024-07-29,202407,162,12,1944,3,ins202407290001
ins202407300001,0000000091,2024-07-30,202407,254,36,9144,3,ins202407300001
ins202407310001,0000000092,2024-07-31,202407,188,12,2256,3,ins202407310001
ins202408010001,0000000093,2024-08-01,202408,222,36,7992,2,ins202408010001
ins202408020001,0000000094,2024-08-02,202408,559,24,13416,3,ins202408020001
ins202408030001,0000000095,2024-08-03,202408,139,12,1668,2,ins202408030001
ins202408040001,0000000096,2024-08-04,202408,469,36,16884,2,ins202408040001
ins202408050001,0000000097,2024-08-05,202408,296,12,3552,4,ins202408050001
ins202408060001,0000000098,2024-08-06,202408,122,12,1464,2,ins202408060001
ins202408070001,0000000099,2024-08-07,202408,150,24,3600,4,ins202408070001
ins202408080001,0000000100,2024-08-08,202408,449,36,16164,3,ins202408080001
ins202408090001,0000000101,2024-08-09,202408,203,12,2436,2,ins202408090001
ins202408100001,0000000102,2024-08-10,202408,278,24,6672,2,ins202408100001
ins202408110001,0000000103,2024-08-11,202408,651,24,15624,4,ins202408110001
ins202408120001,0000000104,2024-08-12,202408,146,24,3504,4,ins202408120001
ins202408130001,0000000105,2024-08-13,202408,186,36,6696,3,ins202408130001
ins202408140001,0000000106,2024-08-14,202408,312,36,11232,4,ins202408140001
ins202408150001,0000000107,2024-08-15,202408,171,12,2052,3,ins202408150001
ins202408160001,0000000108,2024-08-16,202408,134,12,1608,2,ins202408160001
ins202408170001,0000000109,2024-08-17,202408,155,36,5580,3,ins202408170001
ins202408180001,0000000110,2024-08-18,202408,476,12,5712,3,ins202408180001
ins202408190001,0000000111,2024-08-19,202408,93,12,1116,1,ins202408190001
ins202408200001,0000000112,2024-08-20,202408,453,12,5436,1,ins202408200001
ins202408210001,0000000113,2024-08-21,202408,211,12,2532,2,ins202408210001
ins202408220001,0000000114,2024-08-22,202408,124,12,1488,3,ins202408220001
ins202408230001,0000000115,2024-08-23,202408,162,12,1944,3,ins202408230001
ins202408240001,0000000116,2024-08-24,202408,120,12,1440,2,ins202408240001
ins202408250001,0000000117,2024-08-25,202408,483,12,5796,2,ins202408250001
ins202408260001,0000000118,2024-08-26,202408,115,36,4140,1,ins202408260001
ins202408270001,0000000119,2024-08-27,202408,570,12,6840,2,ins202408270001
ins202408280001,0000000120,2024-08-28,202408,163,24,3912,4,ins202408280001
ins202408290001,0000000121,2024-08-29,202408,262,36,9432,1,ins202408290001
ins202408300001,0000000122,2024-08-30,202408,286,12,3432,2,ins202408300001
ins202408310001,0000000123,2024-08-31,202408,260,12,3120,4,ins202408310001
ins202409010001,0000000124,2024-09-01,202409,96,12,1152,2,ins202409010001
ins202409020001,0000000125,2024-09-02,202409,153,24,3672,3,ins202409020001
ins202409030001,0000000126,2024-09-03,202409,314,12,3768,2,ins202409030001
ins202409040001,0000000127,2024-09-04,202409,148,12,1776,4,ins202409040001
ins202409050001,0000000128,2024-09-05,202409,136,12,1632,3,ins202409050001
ins202409060001,0000000129,2024-09-06,202409,166,12,1992,3,ins202409060001
ins202409070001,0000000130,2024-09-07,202409,454,12,5448,3,ins202409070001
ins202409080001,0000000131,2024-09-08,202409,229,12,2748,2,ins202409080001
ins202409090001,0000000132,2024-09-09,202409,133,24,3192,2,ins202409090001
ins202409100001,0000000133,2024-09-10,202409,134,12,1608,4,ins202409100001
ins202409110001,0000000134,2024-09-11,202409,293,12,3516,3,ins202409110001
ins202409120001,0000000135,2024-09-12,202409,217,12,2604,2,ins202409120001
ins202409130001,0000000136,2024-09-13,202409,459,12,5508,2,ins202409130001
ins202409140001,0000000137,2024-09-14,202409,206,12,2472,1,ins202409140001
ins202409150001,0000000138,2024-09-15,202409,285,12,3420,1,ins202409150001
ins202409160001,0000000139,2024-09-16,202409,112,12,1344,1,ins202409160001
ins202409170001,0000000140,2024-09-17,202409,345,24,8280,3,ins202409170001
