,aid,cid,act_days,act_paid_installments,act_utl,act_dueutl,act_due,act_age,act_cc,act_dueinc,act_loaninc,app_income,app_loan_amount,app_n_installments,act_seniority,app_nom_branch,app_nom_gender,app_nom_job_code,app_number_of_children,app_nom_marital_status,app_nom_city,app_nom_home_status,app_nom_cars,app_spendings,fin_period,status,coll_status,period,act_cus_seniority,act_cus_n_loans_hist,act_cus_n_statC,act_cus_n_statB,act_cus_n_loans_act,act_cus_utl,act_cus_dueutl,act_cus_cc,agr12_Mean_Due,agr12_Max_Due,agr12_Min_Due,agr12_Mean_Days,agr12_Max_Days,agr12_Min_Days,agr12_Mean_CMax_Days,agr12_Max_CMax_Days,agr12_Min_CMax_Days,agr12_Mean_CMax_Due,agr12_Max_CMax_Due,agr12_Min_CMax_Due,ags12_Mean_Due,ags12_Max_Due,ags12_Min_Due,ags12_Mean_Days,ags12_Max_Days,ags12_Min_Days,ags12_Mean_CMax_Days,ags12_Max_CMax_Days,ags12_Min_CMax_Days,ags12_Mean_CMax_Due,ags12_Max_CMax_Due,ags12_Min_CMax_Due,agr9_Mean_Due,agr9_Max_Due,agr9_Min_Due,agr9_Mean_Days,agr9_Max_Days,agr9_Min_Days,agr9_Mean_CMax_Days,agr9_Max_CMax_Days,agr9_Min_CMax_Days,agr9_Mean_CMax_Due,agr9_Max_CMax_Due,agr9_Min_CMax_Due,ags9_Mean_Due,ags9_Max_Due,ags9_Min_Due,ags9_Mean_Days,ags9_Max_Days,ags9_Min_Days,ags9_Mean_CMax_Days,ags9_Max_CMax_Days,ags9_Min_CMax_Days,ags9_Mean_CMax_Due,ags9_Max_CMax_Due,ags9_Min_CMax_Due,agr6_Mean_Due,agr6_Max_Due,agr6_Min_Due,agr6_Mean_Days,agr6_Max_Days,agr6_Min_Days,agr6_Mean_CMax_Days,agr6_Max_CMax_Days,agr6_Min_CMax_Days,agr6_Mean_CMax_Due,agr6_Max_CMax_Due,agr6_Min_CMax_Due,ags6_Mean_Due,ags6_Max_Due,ags6_Min_Due,ags6_Mean_Days,ags6_Max_Days,ags6_Min_Days,ags6_Mean_CMax_Days,ags6_Max_CMax_Days,ags6_Min_CMax_Days,ags6_Mean_CMax_Due,ags6_Max_CMax_Due,ags6_Min_CMax_Due,agr3_Mean_Due,agr3_Max_Due,agr3_Min_Due,agr3_Mean_Days,agr3_Max_Days,agr3_Min_Days,agr3_Mean_CMax_Days,agr3_Max_CMax_Days,agr3_Min_CMax_Days,agr3_Mean_CMax_Due,agr3_Max_CMax_Due,agr3_Min_CMax_Due,ags3_Mean_Due,ags3_Max_Due,ags3_Min_Due,ags3_Mean_Days,ags3_Max_Days,ags3_Min_Days,ags3_Mean_CMax_Days,ags3_Max_CMax_Days,ags3_Min_CMax_Days,ags3_Mean_CMax_Due,ags3_Max_CMax_Due,ags3_Min_CMax_Due,scorem,score
0,ins202406110001,0000000042,15,3,0.25,0.0,0,53,0.3134155184916606,0.0,0.2279912980420594,6895,1572,12,-3,4,1,2,2,4,2,2,2,2030,202406,1,1,202409,-3,4,0,0,4,10.916666666666666,0.0,0.3704133430021755,0.0,0,0,27.5,30,24,27.5,30,24,0.0,0,0,,,,,,,,,,,,,0.0,0,0,27.5,30,24,27.5,30,24,0.0,0,0,,,,,,,,,,,,,0.0,0,0,27.5,30,24,27.5,30,24,0.0,0,0,,,,,,,,,,,,,0.0,0,0,26.666666666666668,30,24,26.666666666666668,30,24,0.0,0,0,0.0,0.0,0.0,26.666666666666668,30.0,24.0,26.666666666666668,30.0,24.0,0.0,0.0,0.0,0.3468735614913455,-0.03630071562286308
1,ins202407070001,0000000068,14,2,0.0833333333333333,0.0,0,49,0.6498344370860927,0.0,3.347682119205298,2416,8088,24,-2,3,1,3,2,4,2,3,2,1233,202407,1,1,202409,-2,3,0,0,3,14.041666666666666,0.0,0.9288079470198676,0.0,0,0,28.333333333333332,30,26,28.333333333333332,30,26,0.0,0,0,,,,,,,,,,,,,0.0,0,0,28.333333333333332,30,26,28.333333333333332,30,26,0.0,0,0,,,,,,,,,,,,,0.0,0,0,28.333333333333332,30,26,28.333333333333332,30,26,0.0,0,0,,,,,,,,,,,,,0.0,0,0,28.333333333333332,30,26,28.333333333333332,30,26,0.0,0,0,0.0,0.0,0.0,28.333333333333332,30.0,26.0,28.333333333333332,30.0,26.0,0.0,0.0,0.0,0.33825559766636193,0.6644763231156078
2,ins202408240001,0000000116,15,1,0.0833333333333333,0.0,0,53,0.4243176178660049,0.0,1.7866004962779156,806,1440,12,-1,2,1,4,1,4,4,3,1,222,202408,1,1,202409,-1,2,0,0,2,10.0,0.0,0.5732009925558312,0.0,0,0,30.0,30,30,30.0,30,30,0.0,0,0,,,,,,,,,,,,,0.0,0,0,30.0,30,30,30.0,30,30,0.0,0,0,,,,,,,,,,,,,0.0,0,0,30.0,30,30,30.0,30,30,0.0,0,0,,,,,,,,,,,,,0.0,0,0,30.0,30,30,30.0,30,30,0.0,0,0,,,,,,,,,,,,,1.9721315426160047,0.8846587917858393
3,ins202406240001,0000000055,7,3,0.25,0.0,0,57,0.5209222886421861,0.0,1.506404782237404,1171,1764,12,-3,1,1,4,0,4,4,3,2,463,202406,1,1,202409,-3,4,0,0,4,12.25,0.0,0.8975234842015372,0.0,0,0,26.0,30,22,26.0,30,22,0.0,0,0,,,,,,,,,,,,,0.0,0,0,26.0,30,22,26.0,30,22,0.0,0,0,,,,,,,,,,,,,0.0,0,0,26.0,30,22,26.0,30,22,0.0,0,0,,,,,,,,,,,,,0.0,0,0,24.666666666666668,28,22,24.666666666666668,28,22,0.0,0,0,0.0,0.0,0.0,24.666666666666668,28.0,22.0,24.666666666666668,28.0,22.0,0.0,0.0,0.0,0.7963445417076067,1.6817441659131875
4,ins202408070001,0000000099,15,1,0.0416666666666666,0.0,0,68,0.7462365591397849,0.0,7.741935483870968,465,3600,24,-1,4,1,4,0,3,4,3,2,197,202408,1,1,202409,-1,2,0,0,2,6.25,0.0,1.0688172043010753,0.0,0,0,30.0,30,30,30.0,30,30,0.0,0,0,,,,,,,,,,,,,0.0,0,0,30.0,30,30,30.0,30,30,0.0,0,0,,,,,,,,,,,,,0.0,0,0,30.0,30,30,30.0,30,30,0.0,0,0,,,,,,,,,,,,,0.0,0,0,30.0,30,30,30.0,30,30,0.0,0,0,,,,,,,,,,,,,1.166861375868883,0.47265855071154783
5,ins202405120001,0000000012,15,4,0.3333333333333333,0.0,0,51,0.2668184117349519,0.0,0.7890743550834598,3954,3120,12,-4,2,0,3,1,4,2,2,1,795,202405,1,1,202409,-4,5,0,0,5,21.666666666666668,0.0,0.5298431967627719,0.0,0,0,26.6,30,21,26.6,30,21,0.0,0,0,,,,,,,,,,,,,0.0,0,0,26.6,30,21,26.6,30,21,0.0,0,0,,,,,,,,,,,,,0.0,0,0,26.6,30,21,26.6,30,21,0.0,0,0,,,,,,,,,,,,,0.0,0,0,26.0,30,21,26.0,30,21,0.0,0,0,0.0,0.0,0.0,26.0,30.0,21.0,26.0,30.0,21.0,0.0,0.0,0.0,-2.220162033690075,-0.28756360720570995
6,ins202406120001,0000000043,14,3,0.25,0.0,0,56,0.5531639004149378,0.0,1.3568464730290457,3856,5232,12,-3,4,1,2,2,4,2,3,2,1697,202406,1,1,202409,-3,4,0,0,4,36.333333333333336,0.0,0.8923755186721992,0.0,0,0,27.5,30,22,27.5,30,22,0.0,0,0,,,,,,,,,,,,,0.0,0,0,27.5,30,22,27.5,30,22,0.0,0,0,,,,,,,,,,,,,0.0,0,0,27.5,30,22,27.5,30,22,0.0,0,0,,,,,,,,,,,,,0.0,0,0,26.666666666666668,29,22,26.666666666666668,29,22,0.0,0,0,0.0,0.0,0.0,26.666666666666668,29.0,22.0,26.666666666666668,29.0,22.0,0.0,0.0,0.0,1.128783631288629,1.0217270051939629
7,ins202406300001,0000000061,15,3,0.25,0.0,0,61,0.6067551266586249,0.0,1.1001206272617612,1658,1824,12,-3,3,0,4,2,3,4,3,2,854,202406,1,1,202409,-3,4,0,0,4,12.666666666666666,0.0,0.8817852834740652,0.0,0,0,28.5,30,25,28.5,30,25,0.0,0,0,,,,,,,,,,,,,0.0,0,0,28.5,30,25,28.5,30,25,0.0,0,0,,,,,,,,,,,,,0.0,0,0,28.5,30,25,28.5,30,25,0.0,0,0,,,,,,,,,,,,,0.0,0,0,28.0,30,25,28.0,30,25,0.0,0,0,0.0,0.0,0.0,28.0,30.0,25.0,28.0,30.0,25.0,0.0,0.0,0.0,1.5107379840811421,1.3696227404670043
8,ins202408220001,0000000114,10,1,0.0833333333333333,0.0,0,60,0.4177571975035232,0.0,0.2995772095832494,4967,1488,12,-1,3,0,2,0,4,1,3,2,1951,202408,1,1,202409,-1,2,0,0,2,10.333333333333334,0.0,0.442721964968794,0.0,0,0,27.5,30,25,27.5,30,25,0.0,0,0,,,,,,,,,,,,,0.0,0,0,27.5,30,25,27.5,30,25,0.0,0,0,,,,,,,,,,,,,0.0,0,0,27.5,30,25,27.5,30,25,0.0,0,0,,,,,,,,,,,,,0.0,0,0,27.5,30,25,27.5,30,25,0.0,0,0,,,,,,,,,,,,,-0.7688700997349958,-0.13602891900839165
9,ins202408210001,0000000113,13,1,0.0833333333333333,0.0,0,64,0.8508604206500956,0.0,4.8413001912045885,523,2532,12,-1,2,1,4,0,2,3,3,2,234,202408,1,1,202409,-1,2,0,0,2,17.583333333333332,0.0,1.254302103250478,0.0,0,0,29.0,30,28,29.0,30,28,0.0,0,0,,,,,,,,,,,,,0.0,0,0,29.0,30,28,29.0,30,28,0.0,0,0,,,,,,,,,,,,,0.0,0,0,29.0,30,28,29.0,30,28,0.0,0,0,,,,,,,,,,,,,0.0,0,0,29.0,30,28,29.0,30,28,0.0,0,0,,,,,,,,,,,,,-0.7409930248544319,0.1745883280649998
