aid,cid,act_days,act_paid_installments,act_utl,act_dueutl,act_due,act_age,act_cc,act_dueinc,act_loaninc,app_income,app_loan_amount,app_n_installments,act_seniority,app_nom_branch,app_nom_gender,app_nom_job_code,app_number_of_children,app_nom_marital_status,app_nom_city,app_nom_home_status,app_nom_cars,app_spendings,fin_period,status,coll_status,period,act_cus_seniority,act_cus_n_loans_hist,act_cus_n_statC,act_cus_n_statB,act_cus_n_loans_act,act_cus_utl,act_cus_dueutl,act_cus_cc
ins202503220001,0000000651,15,4,0.3333333333333333,0.0,0,66,0.509704641350211,0.0,1.1443037974683545,1185,1356,12,-4,2,0,4,0,3,2,3,2,491,202503,1,1,202507,-4,5,0,0,5,9.416666666666666,0.0,0.8911392405063291
ins202506270001,0000000845,12,1,0.08333333333333333,0.0,0,50,0.9772727272727273,0.0,7.090909090909091,396,2808,12,0,4,1,4,2,4,2,3,2,153,202506,1,1,202507,0,2,0,0,2,19.5,0.0,1.5681818181818181
ins202409300002,0000000306,14,10,0.8333333333333334,0.0,0,53,0.44916540212443096,0.0,0.3975720789074355,3954,1572,12,-10,1,1,3,1,2,1,3,2,1645,202409,1,1,202507,-10,11,0,0,11,10.916666666666666,0.0,0.7804754678806272
ins202506230001,0000000837,11,1,0.08333333333333333,0.0,0,57,0.4794246903715541,0.0,0.2317219336795845,7509,1740,12,0,4,1,2,2,4,3,3,2,3455,202506,1,1,202507,0,2,0,0,2,12.083333333333334,0.0,0.49873485151151953
ins202411220001,0000000411,13,8,0.3333333333333333,0.0,0,71,0.9829787234042553,0.0,8.476595744680852,705,5976,24,-8,3,0,4,0,2,2,3,2,444,202411,1,1,202507,-8,9,0,0,9,10.375,0.0,3.8085106382978724
ins202505030001,0000000735,14,2,0.16666666666666666,0.0,0,66,0.7558139534883721,0.0,3.488372093023256,602,2100,12,-2,4,0,4,1,3,3,3,2,280,202505,1,1,202507,-2,3,0,0,3,14.583333333333334,0.0,1.3372093023255813
ins202504130002,0000000696,11,3,0.25,0.0,0,63,0.5691542288557214,0.0,3.37910447761194,1005,3396,12,-3,4,1,4,0,4,3,2,2,289,202504,1,1,202507,-3,4,0,0,4,23.583333333333332,0.0,1.4139303482587064
ins202410240002,0000000354,10,9,0.25,0.0,0,70,0.5853658536585366,0.0,7.52067868504772,943,7092,36,-9,3,1,4,2,4,4,3,2,355,202410,1,1,202507,-9,10,0,0,10,5.472222222222222,0.0,2.4655355249204667
ins202503270001,0000000661,13,4,0.3333333333333333,0.0,0,53,0.5151133501259446,0.0,1.0428211586901763,2382,2484,12,-4,3,1,3,0,4,2,3,2,1020,202503,1,1,202507,-4,5,0,0,5,17.25,0.0,0.8627204030226701
ins202501060001,0000000501,11,6,0.16666666666666666,0.0,0,65,0.6702937976060935,0.0,6.228509249183896,919,5724,36,-6,2,1,4,2,4,1,3,2,457,202501,1,1,202507,-6,7,0,0,7,4.416666666666667,0.0,1.7083786724700762
