aid,cid,app_date,period,installment,n_installments,loan_amount,branch,aid
ins202405010001,0000000001,2024-05-01,202405,402,12,4824,1,ins202405010001
ins202405010002,0000000002,2024-05-01,202405,347,12,4164,4,ins202405010002
ins202405020001,0000000003,2024-05-02,202405,287,36,10332,1,ins202405020001
ins202405020002,0000000004,2024-05-02,202405,549,12,6588,3,ins202405020002
ins202405030001,0000000005,2024-05-03,202405,233,12,2796,1,ins202405030001
ins202405030002,0000000006,2024-05-03,202405,143,24,3432,2,ins202405030002
ins202405040001,0000000007,2024-05-04,202405,329,24,7896,3,ins202405040001
ins202405040002,0000000008,2024-05-04,202405,263,12,3156,3,ins202405040002
ins202405050001,0000000009,2024-05-05,202405,180,12,2160,2,ins202405050001
ins202405050002,0000000010,2024-05-05,202405,150,12,1800,2,ins202405050002
ins202405060001,0000000011,2024-05-06,202405,232,12,2784,4,ins202405060001
ins202405060002,0000000012,2024-05-06,202405,260,12,3120,2,ins202405060002
ins202405070001,0000000013,2024-05-07,202405,271,12,3252,2,ins202405070001
ins202405070002,0000000014,2024-05-07,202405,316,12,3792,2,ins202405070002
ins202405080001,0000000015,2024-05-08,202405,379,36,13644,3,ins202405080001
ins202405080002,0000000016,2024-05-08,202405,510,36,18360,1,ins202405080002
ins202405090001,0000000017,2024-05-09,202405,516,12,6192,3,ins202405090001
ins202405090002,0000000018,2024-05-09,202405,588,12,7056,1,ins202405090002
ins202405100001,0000000019,2024-05-10,202405,136,12,1632,4,ins202405100001
ins202405100002,0000000020,2024-05-10,202405,126,12,1512,1,ins202405100002
ins202405110001,0000000021,2024-05-11,202405,259,12,3108,3,ins202405110001
ins202405110002,0000000022,2024-05-11,202405,269,12,3228,2,ins202405110002
ins202405120001,0000000023,2024-05-12,202405,347,12,4164,2,ins202405120001
ins202405120002,0000000024,2024-05-12,202405,164,12,1968,3,ins202405120002
ins202405130001,0000000025,2024-05-13,202405,290,24,6960,4,ins202405130001
ins202405130002,0000000026,2024-05-13,202405,457,24,10968,2,ins202405130002
ins202405140001,0000000027,2024-05-14,202405,366,36,13176,4,ins202405140001
ins202405140002,0000000028,2024-05-14,202405,103,12,1236,2,ins202405140002
ins202405150001,0000000029,2024-05-15,202405,493,12,5916,1,ins202405150001
ins202405150002,0000000030,2024-05-15,202405,432,36,15552,2,ins202405150002
ins202405160001,0000000031,2024-05-16,202405,101,24,2424,1,ins202405160001
ins202405160002,0000000032,2024-05-16,202405,149,36,5364,4,ins202405160002
ins202405170001,0000000033,2024-05-17,202405,157,12,1884,2,ins202405170001
ins202405170002,0000000034,2024-05-17,202405,232,12,2784,2,ins202405170002
ins202405180001,0000000035,2024-05-18,202405,252,24,6048,4,ins202405180001
ins202405180002,0000000036,2024-05-18,202405,166,12,1992,1,ins202405180002
ins202405190001,0000000037,2024-05-19,202405,105,36,3780,1,ins202405190001
ins202405190002,0000000038,2024-05-19,202405,293,12,3516,2,ins202405190002
ins202405200001,0000000039,2024-05-20,202405,265,12,3180,3,ins202405200001
ins202405200002,0000000040,2024-05-20,202405,158,12,1896,4,ins202405200002
ins202405210001,0000000041,2024-05-21,202405,107,12,1284,4,ins202405210001
ins202405210002,0000000042,2024-05-21,202405,498,36,17928,4,ins202405210002
ins202405220001,0000000043,2024-05-22,202405,113,12,1356,1,ins202405220001
ins202405220002,0000000044,2024-05-22,202405,349,12,4188,1,ins202405220002
ins202405230001,0000000045,2024-05-23,202405,96,12,1152,1,ins202405230001
ins202405230002,0000000046,2024-05-23,202405,253,12,3036,2,ins202405230002
ins202405240001,0000000047,2024-05-24,202405,138,36,4968,2,ins202405240001
ins202405240002,0000000048,2024-05-24,202405,106,36,3816,3,ins202405240002
ins202405250001,0000000049,2024-05-25,202405,339,24,8136,4,ins202405250001
ins202405250002,0000000050,2024-05-25,202405,230,12,2760,3,ins202405250002
ins202405260001,0000000051,2024-05-26,202405,182,36,6552,3,ins202405260001
ins202405260002,0000000052,2024-05-26,202405,258,36,9288,2,ins202405260002
ins202405270001,0000000053,2024-05-27,202405,586,12,7032,2,ins202405270001
ins202405270002,0000000054,2024-05-27,202405,396,12,4752,3,ins202405270002
ins202405280001,0000000055,2024-05-28,202405,316,24,7584,1,ins202405280001
ins202405280002,0000000056,2024-05-28,202405,170,36,6120,3,ins202405280002
ins202405290001,0000000057,2024-05-29,202405,355,12,4260,2,ins202405290001
ins202405290002,0000000058,2024-05-29,202405,143,12,1716,1,ins202405290002
ins202405300001,0000000059,2024-05-30,202405,313,12,3756,2,ins202405300001
ins202405300002,0000000060,2024-05-30,202405,187,12,2244,1,ins202405300002
ins202405310001,0000000061,2024-05-31,202405,106,12,1272,3,ins202405310001
ins202405310002,0000000062,2024-05-31,202405,293,24,7032,2,ins202405310002
ins202406010001,0000000063,2024-06-01,202406,328,12,3936,2,ins202406010001
ins202406010002,0000000064,2024-06-01,202406,139,24,3336,3,ins202406010002
ins202406020001,0000000065,2024-06-02,202406,168,12,2016,3,ins202406020001
ins202406020002,0000000066,2024-06-02,202406,482,36,17352,3,ins202406020002
ins202406030001,0000000067,2024-06-03,202406,362,24,8688,1,ins202406030001
ins202406030002,0000000068,2024-06-03,202406,138,36,4968,1,ins202406030002
ins202406040001,0000000069,2024-06-04,202406,371,12,4452,4,ins202406040001
ins202406040002,0000000070,2024-06-04,202406,224,36,8064,4,ins202406040002
ins202406050001,0000000071,2024-06-05,202406,140,36,5040,1,ins202406050001
