period,aid,cid,action,coll_status
202406,ins202405100002,0000000020,333,1
202406,ins202405310001,0000000061,333,1
202406,ins202405200002,0000000040,333,1
202406,ins202405160002,0000000032,333,1
202406,ins202405170001,0000000033,333,1
202406,ins202405220002,0000000044,333,1
202406,ins202405210001,0000000041,333,1
202406,ins202405230002,0000000046,333,1
202406,ins202405250002,0000000050,333,1
202406,ins202405070002,0000000014,333,1
202406,ins202405110001,0000000021,333,1
202406,ins202405090002,0000000018,333,1
202406,ins202405120001,0000000023,333,1
202406,ins202405290001,0000000057,333,1
202406,ins202405100001,0000000019,333,1
202406,ins202405030002,0000000006,333,1
202406,ins202405240002,0000000048,333,1
202406,ins202405300001,0000000059,333,1
202406,ins202405160001,0000000031,333,1
202406,ins202405060001,0000000011,333,1
202406,ins202405230001,0000000045,333,1
202406,ins202405040002,0000000008,333,1
202406,ins202405260002,0000000052,333,1
202406,ins202405190002,0000000038,333,1
202406,ins202405070001,0000000013,333,1
202406,ins202405120002,0000000024,333,1
202406,ins202405110002,0000000022,333,1
202406,ins202405210002,0000000042,333,1
202406,ins202405010001,0000000001,333,1
202406,ins202405280002,0000000056,333,1
202406,ins202405310002,0000000062,333,1
202406,ins202405250001,0000000049,333,1
202406,ins202405020002,0000000004,333,1
202406,ins202405030001,0000000005,333,1
202406,ins202405200001,0000000039,333,1
202406,ins202405090001,0000000017,333,1
202406,ins202405050002,0000000010,333,1
202406,ins202405150001,0000000029,333,1
202406,ins202405140001,0000000027,333,1
202406,ins202405180002,0000000036,333,1
202406,ins202405170002,0000000034,333,1
202406,ins202405140002,0000000028,333,1
202406,ins202405040001,0000000007,333,1
202406,ins202405180001,0000000035,333,1
202406,ins202405060002,0000000012,333,1
202406,ins202405050001,0000000009,333,1
202406,ins202405260001,0000000051,333,1
202406,ins202405010002,0000000002,333,1
202406,ins202405300002,0000000060,333,1
202406,ins202405190001,0000000037,333,2
202406,ins202405270001,0000000053,333,2
202406,ins202405130001,0000000025,333,2
202406,ins202405220001,0000000043,333,2
202406,ins202405240001,0000000047,333,2
202406,ins202405080001,0000000015,333,2
202406,ins202405130002,0000000026,333,2
202406,ins202405270002,0000000054,333,2
202406,ins202405080002,0000000016,333,2
202406,ins202405020001,0000000003,333,2
202406,ins202405280001,0000000055,333,2
202406,ins202405290002,0000000058,333,2
202406,ins202405150002,0000000030,333,2
202407,ins202406030001,0000000067,0,1
202407,ins202405180002,0000000036,0,1
202407,ins202406080001,0000000077,0,1
202407,ins202406240002,0000000110,0,1
202407,ins202406080002,0000000078,0,1
202407,ins202406290002,0000000120,0,1
202407,ins202406200001,0000000101,0,1
202407,ins202406130001,0000000087,0,1
202407,ins202406170001,0000000095,0,1
202407,ins202405070002,0000000014,0,1
202407,ins202406270001,0000000115,0,1
202407,ins202406110002,0000000084,0,1
202407,ins202406170002,0000000096,0,1
202407,ins202405230002,0000000046,0,1
202407,ins202406140001,0000000089,0,1
202407,ins202405030002,0000000006,0,1
202407,ins202406070002,0000000076,0,1
202407,ins202406190002,0000000100,0,1
202407,ins202405200002,0000000040,0,1
202407,ins202405170001,0000000033,0,1
202407,ins202405280002,0000000056,0,1
202407,ins202406220001,0000000105,0,1
202407,ins202406090001,0000000079,0,1
202407,ins202406020001,0000000065,0,1
202407,ins202405060001,0000000011,0,1
202407,ins202406120001,0000000085,0,1
202407,ins202405140002,0000000028,0,1
202407,ins202406100001,0000000081,0,1
202407,ins202405100001,0000000019,0,1
202407,ins202406120002,0000000086,0,1
202407,ins202405090001,0000000017,0,1
202407,ins202406010002,0000000064,0,1
202407,ins202405160002,0000000032,0,1
202407,ins202406240001,0000000109,0,1
202407,ins202406260001,0000000113,0,1
202407,ins202406180002,0000000098,0,1
202407,ins202405110001,0000000021,0,1
202407,ins202405020002,0000000004,0,1
202407,ins202406040001,0000000069,0,1
202407,ins202405120001,0000000023,0,1
202407,ins202405220002,0000000044,0,1
202407,ins202406280002,0000000118,0,1
202407,ins202405290001,0000000057,0,1
202407,ins202405200001,0000000039,0,1
202407,ins202406230001,0000000107,0,1
202407,ins202406040002,0000000070,0,1
202407,ins202406090002,0000000080,0,1
202407,ins202405010001,0000000001,0,1
202407,ins202406280001,0000000117,0,1
202407,ins202405310001,0000000061,0,1
202407,ins202405230001,0000000045,0,1
202407,ins202405260002,0000000052,0,1
202407,ins202405150001,0000000029,0,1
202407,ins202405300002,0000000060,0,1
202407,ins202405210001,0000000041,0,1
202407,ins202405260001,0000000051,0,1
202407,ins202405300001,0000000059,0,1
202407,ins202405250002,0000000050,0,1
202407,ins202406210001,0000000103,0,1
202407,ins202406160002,0000000094,0,1
202407,ins202406210002,0000000104,0,1
202407,ins202406190001,0000000099,0,1
202407,ins202406050001,0000000071,0,1
202407,ins202405180001,0000000035,0,1
202407,ins202405050001,0000000009,0,1
202407,ins202405140001,0000000027,0,1
202407,ins202406290001,0000000119,0,1
202407,ins202405120002,0000000024,0,1
202407,ins202405160001,0000000031,0,1
202407,ins202406050002,0000000072,0,1
202407,ins202406070001,0000000075,0,1
202407,ins202405040002,0000000008,0,1
202407,ins202406110001,0000000083,0,1
202407,ins202406250001,0000000111,0,1
202407,ins202405050002,0000000010,0,1
202407,ins202406150002,0000000092,0,1
202407,ins202406060001,0000000073,0,1
202407,ins202405110002,0000000022,0,1
202407,ins202405240002,0000000048,0,1
202407,ins202405030001,0000000005,0,1
202407,ins202406260002,0000000114,0,1
202407,ins202406060002,0000000074,0,1
202407,ins202406140002,0000000090,0,1
202407,ins202405170002,0000000034,0,1
202407,ins202406150001,0000000091,0,1
202407,ins202405060002,0000000012,0,1
202407,ins202406030002,0000000068,0,1
202407,ins202405190002,0000000038,0,1
202407,ins202405040001,0000000007,0,1
202407,ins202406100002,0000000082,0,2
202407,ins202406250002,0000000112,0,2
202407,ins202405310002,0000000062,0,1
202407,ins202406130002,0000000088,0,2
202407,ins202405100002,0000000020,0,2
202407,ins202405010002,0000000002,0,2
202407,ins202406200002,0000000102,0,2
202407,ins202406300001,0000000121,0,2
202407,ins202406020002,0000000066,0,2
202407,ins202405090002,0000000018,0,2
202407,ins202405070001,0000000013,0,2
202407,ins202405210002,0000000042,0,2
202407,ins202406230002,0000000108,0,2
202407,ins202406010001,0000000063,0,2
202407,ins202406160001,0000000093,0,2
202407,ins202405250001,0000000049,0,2
202407,ins202406300002,0000000122,0,2
202407,ins202406180001,0000000097,0,2
202407,ins202406270002,0000000116,0,2
202407,ins202406220002,0000000106,0,2
202407,ins202405240001,0000000047,12,7
202407,ins202405150002,0000000030,12,7
202407,ins202405130001,0000000025,12,7
202407,ins202405080002,0000000016,12,2
202407,ins202405130002,0000000026,12,2
202407,ins202405270002,0000000054,12,2
202407,ins202405280001,0000000055,122,2
202407,ins202405290002,0000000058,12,2
202407,ins202405190001,0000000037,122,2
202407,ins202405020001,0000000003,12,2
202407,ins202405080001,0000000015,12,2
202407,ins202405220001,0000000043,12,2
202407,ins202405270001,0000000053,12,2
202408,ins202407050002,0000000132,0,1
202408,ins202406130001,0000000087,0,1
202408,ins202406100001,0000000081,0,1
202408,ins202405040001,0000000007,0,1
202408,ins202407310001,0000000183,0,1
202408,ins202405310001,0000000061,0,1
202408,ins202406040001,0000000069,0,1
202408,ins202406170001,0000000095,0,1
202408,ins202407250001,0000000171,0,1
202408,ins202406210002,0000000104,0,1
202408,ins202407210002,0000000164,0,1
202408,ins202407160002,0000000154,0,1
202408,ins202407300002,0000000182,0,1
202408,ins202405110002,0000000022,0,1
202408,ins202406140002,0000000090,0,1
202408,ins202405150001,0000000029,0,1
202408,ins202407100001,0000000141,0,1
202408,ins202407150001,0000000151,0,1
202408,ins202405260001,0000000051,0,1
202408,ins202406110002,0000000084,0,1
202408,ins202406090001,0000000079,0,1
202408,ins202407010001,0000000123,0,1
202408,ins202407010002,0000000124,0,1
202408,ins202407170002,0000000156,0,1
202408,ins202405160001,0000000031,0,1
202408,ins202407170001,0000000155,0,1
202408,ins202407020002,0000000126,0,1
202408,ins202407060001,0000000133,0,1
202408,ins202407240001,0000000169,0,1
202408,ins202405060002,0000000012,0,1
202408,ins202407070001,0000000135,0,1
202408,ins202405310002,0000000062,0,1
202408,ins202406030002,0000000068,0,1
202408,ins202405210001,0000000041,0,1
202408,ins202407310002,0000000184,0,1
202408,ins202406080002,0000000078,0,1
202408,ins202407220002,0000000166,0,1
202408,ins202407140001,0000000149,0,1
202408,ins202407130002,0000000148,0,1
202408,ins202406080001,0000000077,0,1
202408,ins202405110001,0000000021,0,1
202408,ins202405050001,0000000009,0,1
202408,ins202406280002,0000000118,0,1
202408,ins202407210001,0000000163,0,1
202408,ins202406170002,0000000096,0,1
202408,ins202406010002,0000000064,0,1
202408,ins202406250001,0000000111,0,1
202408,ins202407080002,0000000138,0,1
202408,ins202406140001,0000000089,0,1
202408,ins202407230001,0000000167,0,1
202408,ins202406070002,0000000076,0,1
202408,ins202405140002,0000000028,0,1
202408,ins202405100001,0000000019,0,1
202408,ins202407080001,0000000137,0,1
202408,ins202405290001,0000000057,0,1
202408,ins202406290002,0000000120,0,1
202408,ins202405200002,0000000040,0,1
202408,ins202407180002,0000000158,0,1
202408,ins202406120001,0000000085,0,1
202408,ins202407070002,0000000136,0,1
202408,ins202407230002,0000000168,0,1
202408,ins202407190001,0000000159,0,1
202408,ins202407150002,0000000152,0,1
202408,ins202406230001,0000000107,0,1
202408,ins202407120001,0000000145,0,1
202408,ins202406020001,0000000065,0,1
202408,ins202407040001,0000000129,0,1
202408,ins202406260001,0000000113,0,1
202408,ins202407290001,0000000179,0,1
202408,ins202407240002,0000000170,0,1
202408,ins202405140001,0000000027,0,1
202408,ins202405240002,0000000048,0,1
202408,ins202405170001,0000000033,0,1
202408,ins202407090002,0000000140,0,1
202408,ins202407270001,0000000175,0,1
202408,ins202407300001,0000000181,0,1
202408,ins202405120002,0000000024,0,1
202408,ins202406030001,0000000067,0,1
202408,ins202405030002,0000000006,0,1
202408,ins202407290002,0000000180,0,1
202408,ins202407160001,0000000153,0,1
202408,ins202407260001,0000000173,0,1
202408,ins202407050001,0000000131,0,1
202408,ins202406180002,0000000098,0,1
