period,aid,cid,fin_period,status,coll_status,due_installments,paid_installments,pay_days
202405,ins202405010001,0000000001,202405,1,1,0,0,0
202405,ins202405010002,0000000002,202405,1,1,0,0,0
202405,ins202405020001,0000000003,202405,1,1,0,0,0
202405,ins202405020002,0000000004,202405,1,1,0,0,0
202405,ins202405030001,0000000005,202405,1,1,0,0,0
202405,ins202405030002,0000000006,202405,1,1,0,0,0
202405,ins202405040001,0000000007,202405,1,1,0,0,0
202405,ins202405040002,0000000008,202405,1,1,0,0,0
202405,ins202405050001,0000000009,202405,1,1,0,0,0
202405,ins202405050002,0000000010,202405,1,1,0,0,0
202405,ins202405060001,0000000011,202405,1,1,0,0,0
202405,ins202405060002,0000000012,202405,1,1,0,0,0
202405,ins202405070001,0000000013,202405,1,1,0,0,0
202405,ins202405070002,0000000014,202405,1,1,0,0,0
202405,ins202405080001,0000000015,202405,1,1,0,0,0
202405,ins202405080002,0000000016,202405,1,1,0,0,0
202405,ins202405090001,0000000017,202405,1,1,0,0,0
202405,ins202405090002,0000000018,202405,1,1,0,0,0
202405,ins202405100001,0000000019,202405,1,1,0,0,0
202405,ins202405100002,0000000020,202405,1,1,0,0,0
202405,ins202405110001,0000000021,202405,1,1,0,0,0
202405,ins202405110002,0000000022,202405,1,1,0,0,0
202405,ins202405120001,0000000023,202405,1,1,0,0,0
202405,ins202405120002,0000000024,202405,1,1,0,0,0
202405,ins202405130001,0000000025,202405,1,1,0,0,0
202405,ins202405130002,0000000026,202405,1,1,0,0,0
202405,ins202405140001,0000000027,202405,1,1,0,0,0
202405,ins202405140002,0000000028,202405,1,1,0,0,0
202405,ins202405150001,0000000029,202405,1,1,0,0,0
202405,ins202405150002,0000000030,202405,1,1,0,0,0
202405,ins202405160001,0000000031,202405,1,1,0,0,0
202405,ins202405160002,0000000032,202405,1,1,0,0,0
202405,ins202405170001,0000000033,202405,1,1,0,0,0
202405,ins202405170002,0000000034,202405,1,1,0,0,0
202405,ins202405180001,0000000035,202405,1,1,0,0,0
202405,ins202405180002,0000000036,202405,1,1,0,0,0
202405,ins202405190001,0000000037,202405,1,1,0,0,0
202405,ins202405190002,0000000038,202405,1,1,0,0,0
202405,ins202405200001,0000000039,202405,1,1,0,0,0
202405,ins202405200002,0000000040,202405,1,1,0,0,0
202405,ins202405210001,0000000041,202405,1,1,0,0,0
202405,ins202405210002,0000000042,202405,1,1,0,0,0
202405,ins202405220001,0000000043,202405,1,1,0,0,0
202405,ins202405220002,0000000044,202405,1,1,0,0,0
202405,ins202405230001,0000000045,202405,1,1,0,0,0
202405,ins202405230002,0000000046,202405,1,1,0,0,0
202405,ins202405240001,0000000047,202405,1,1,0,0,0
202405,ins202405240002,0000000048,202405,1,1,0,0,0
202405,ins202405250001,0000000049,202405,1,1,0,0,0
202405,ins202405250002,0000000050,202405,1,1,0,0,0
202405,ins202405260001,0000000051,202405,1,1,0,0,0
202405,ins202405260002,0000000052,202405,1,1,0,0,0
202405,ins202405270001,0000000053,202405,1,1,0,0,0
202405,ins202405270002,0000000054,202405,1,1,0,0,0
202405,ins202405280001,0000000055,202405,1,1,0,0,0
202405,ins202405280002,0000000056,202405,1,1,0,0,0
202405,ins202405290001,0000000057,202405,1,1,0,0,0
202405,ins202405290002,0000000058,202405,1,1,0,0,0
202405,ins202405300001,0000000059,202405,1,1,0,0,0
202405,ins202405300002,0000000060,202405,1,1,0,0,0
202405,ins202405310001,0000000061,202405,1,1,0,0,0
202405,ins202405310002,0000000062,202405,1,1,0,0,0
202406,ins202405100002,0000000020,202405,1,1,0,1,0
202406,ins202405310001,0000000061,202405,1,1,0,1,-3
202406,ins202405200002,0000000040,202405,1,1,0,1,-1
202406,ins202405160002,0000000032,202405,1,1,0,1,0
202406,ins202405170001,0000000033,202405,1,1,0,1,-3
202406,ins202405220002,0000000044,202405,1,1,0,1,-5
202406,ins202405210001,0000000041,202405,1,1,0,1,0
202406,ins202405230002,0000000046,202405,1,1,0,1,-3
202406,ins202405250002,0000000050,202405,1,1,0,1,-4
202406,ins202405070002,0000000014,202405,1,1,0,1,-6
202406,ins202405110001,0000000021,202405,1,1,0,1,-5
202406,ins202405090002,0000000018,202405,1,1,0,1,-3
202406,ins202405120001,0000000023,202405,1,1,0,1,0
202406,ins202405290001,0000000057,202405,1,1,0,1,-3
